iter	Passed	Remaining
408	4861	7025
409	4875	7016
410	4888	7005
411	4900	6994
412	4912	6982
413	4925	6971
414	4936	6959
415	4949	6948
416	4960	6935
417	4972	6923
418	4984	6911
419	4996	6899
420	5007	6886
421	5020	6875
422	5033	6865
423	5044	6853
424	5056	6841
425	5068	6828
426	5079	6815
427	5091	6804
428	5103	6792
429	5113	6778
430	5125	6766
431	5136	6753
432	5148	6741
433	5159	6729
434	5171	6717
435	5183	6705
436	5194	6691
437	5204	6678
438	5215	6664
439	5227	6652
440	5237	6639
441	5248	6626
442	5260	6614
443	5271	6601
444	5283	6589
445	5296	6579
446	5308	6566
447	5320	6555
448	5331	6542
449	5343	6530
450	5354	6518
451	5365	6505
452	5377	6493
453	5388	6480
454	5400	6468
455	5411	6456
456	5422	6443
457	5433	6430
458	5446	6419
459	5457	6406
460	5470	6396
461	5484	6386
462	5505	6385
463	5519	6375
464	5532	6365
465	5546	6355
466	5559	6345
467	5571	6333
468	5582	6320
469	5594	6308
470	5606	6296
471	5617	6283
472	5628	6271
473	5639	6257
474	5649	6244
475	5660	6231
476	5671	6218
477	5681	6204
478	5691	6191
479	5702	6178
480	5715	6167
481	5727	6155
482	5740	6144
483	5753	6134
484	5767	6124
485	5780	6113
486	5795	6104
487	5809	6095
488	5822	6084
489	5837	6076
490	5852	6066
491	5863	6054
492	5875	6042
493	5887	6030
494	5899	6018
495	5911	6006
496	5924	5995
497	5936	5983
498	5948	5972
499	5960	5960
500	5972	5949
501	5985	5937
502	5997	5925
503	6008	5913
504	6021	5901
505	6033	5890
506	6044	5877
507	6056	5866
508	6067	5853
509	6079	5841
510	6092	5830
511	6107	5820
512	6119	5809
513	6131	5797
514	6144	5786
515	6158	5776
516	6171	5765
517	6182	5752
518	6195	5741
519	6207	5730
520	6219	5717
521	6230	5705
522	6240	5691
523	6251	5679
524	6262	5666
525	6272	5652
526	6282	5639
527	6293	5626
528	6304	5613
529	6314	5599
530	6326	5587
531	6336	5574
532	6347	5561
533	6358	5548
534	6370	5536
535	6381	5524
536	6393	5512
537	6404	5500
538	6415	5487
539	6427	5475
540	6439	5463
541	6452	5452
542	6466	5442
543	6484	5435
544	6524	5446
545	6551	5447
546	6572	5443
547	6585	5431
548	6599	5421
549	6616	5413
550	6633	5405
551	6645	5393
552	6658	5382
553	6672	5371
554	6689	5363
555	6704	5354
556	6716	5342
557	6728	5329
558	6740	5317
559	6752	5305
560	6764	5293
561	6776	5281
562	6788	5269
563	6800	5256
564	6812	5244
565	6824	5232
566	6836	5220
567	6848	5208
568	6861	5197
569	6876	5187
570	6888	5175
571	6901	5163
572	6913	5151
573	6925	5140
574	6938	5128
575	6951	5117
576	6965	5106
577	6979	5095
578	6992	5084
579	7004	5072
580	7017	5060
581	7029	5048
582	7041	5036
583	7053	5024
584	7065	5012
585	7076	4999
586	7089	4988
587	7101	4975
588	7112	4963
589	7123	4950
590	7135	4938
591	7147	4925
592	7159	4914
593	7170	4901
594	7182	4888
595	7193	4876
596	7206	4864
597	7217	4852
598	7228	4839
599	7240	4827
600	7252	4814
601	7263	4802
602	7276	4790
603	7288	4778
604	7299	4765
605	7311	4753
606	7322	4740
607	7334	4728
608	7346	4716
609	7357	4703
610	7368	4691
611	7380	4679
612	7391	4666
613	7403	4654
614	7414	4641
615	7425	4629
616	7437	4616
617	7448	4604
618	7458	4590
619	7469	4578
620	7481	4565
621	7492	4553
622	7503	4540
623	7517	4529
624	7531	4518
625	7543	4506
626	7556	4495
627	7568	4483
628	7581	4471
629	7593	4459
630	7605	4447
631	7618	4435
632	7630	4423
633	7642	4412
634	7654	4399
635	7665	4387
636	7678	4375
637	7690	4363
638	7703	4351
639	7716	4340
640	7730	4329
641	7742	4317
642	7754	4305
643	7766	4293
644	7779	4281
645	7792	4270
646	7804	4258
647	7818	4247
648	7831	4235
649	7842	4222
650	7855	4211
651	7866	4198
652	7879	4186
653	7891	4174
654	7903	4162
655	7915	4150
656	7929	4139
657	7941	4127
658	7953	4115
659	7965	4103
660	7978	4091
661	7989	4079
662	8002	4067
663	8015	4055
664	8027	4043
665	8039	4031
666	8051	4019
667	8064	4007
668	8077	3996
669	8089	3984
670	8102	3972
671	8117	3961
672	8130	3950
673	8144	3939
674	8160	3929
675	8174	3917
676	8190	3907
677	8208	3898
678	8221	3886
679	8234	3875
680	8246	3862
681	8258	3850
682	8270	3838
683	8284	3827
684	8300	3817
685	8315	3806
686	8329	3794
687	8341	3782
688	8354	3771
689	8366	3758
690	8377	3746
691	8389	3734
692	8401	3721
693	8412	3709
694	8424	3697
695	8436	3684
696	8447	3672
697	8460	3660
698	8472	3648
699	8483	3635
700	8494	3623
701	8507	3611
702	8519	3599
703	8531	3587
704	8543	3574
705	8554	3562
706	8565	3549
707	8576	3537
708	8588	3524
709	8599	3512
710	8611	3500
711	8623	3488
712	8637	3476
713	8648	3464
714	8661	3452
715	8671	3439
716	8682	3427
717	8693	3414
718	8704	3401
719	8715	3389
720	8725	3376
721	8736	3364
722	8748	3351
723	8758	3338
724	8769	3326
725	8781	3314
726	8792	3301
727	8804	3289
728	8815	3277
729	8827	3264
730	8839	3253
731	8851	3240
732	8863	3228
733	8873	3215
734	8884	3203
735	8895	3190
736	8908	3178
737	8920	3166
738	8933	3154
739	8945	3143
740	8958	3131
741	8970	3119
742	8982	3106
743	8994	3094
744	9005	3082
745	9018	3070
746	9030	3058
747	9042	3046
748	9054	3034
749	9066	3022
750	9079	3010
751	9091	2998
752	9103	2986
753	9116	2974
754	9128	2962
755	9140	2949
756	9151	2937
757	9163	2925
758	9176	2913
759	9187	2901
760	9199	2889
761	9210	2876
762	9222	2864
763	9233	2852
764	9244	2839
765	9256	2827
766	9267	2815
767	9278	2802
768	9290	2790
769	9302	2778
770	9312	2765
771	9324	2753
772	9335	2741
773	9361	2733
774	9373	2721
775	9384	2708
776	9395	2696
777	9405	2683
778	9417	2671
779	9428	2659
780	9440	2647
781	9451	2634
782	9463	2622
783	9475	2610
784	9486	2598
785	9496	2585
786	9508	2573
787	9522	2561
788	9536	2550
789	9546	2537
790	9557	2525
791	9569	2513
792	9580	2500
793	9593	2489
794	9604	2476
795	9616	2464
796	9627	2452
797	9639	2440
798	9651	2427
799	9662	2415
800	9673	2403
801	9685	2391
802	9696	2378
803	9708	2366
804	9719	2354
805	9730	2342
806	9742	2330
807	9754	2317
808	9766	2305
809	9777	2293
810	9788	2281
811	9800	2269
812	9812	2257
813	9823	2244
814	9834	2232
815	9845	2219
816	9856	2207
817	9867	2195
818	9877	2183
819	9888	2170
820	9899	2158
821	9910	2146
822	9922	2133
823	9934	2121
824	9946	2109
825	9957	2097
826	9968	2085
827	9979	2073
828	9991	2060
829	10002	2048
830	10012	2036
831	10024	2024
832	10035	2012
833	10048	1999
834	10059	1987
835	10071	1975
836	10083	1963
837	10094	1951
838	10106	1939
839	10117	1927
840	10129	1915
841	10141	1903
842	10152	1890
843	10163	1878
844	10174	1866
845	10185	1854
846	10196	1841
847	10208	1829
848	10220	1817
849	10231	1805
850	10243	1793
851	10255	1781
852	10266	1769
853	10278	1757
854	10290	1745
855	10301	1732
856	10313	1720
857	10324	1708
858	10335	1696
859	10347	1684
860	10359	1672
861	10371	1660
862	10383	1648
863	10395	1636
864	10408	1624
865	10419	1612
866	10433	1600
867	10444	1588
868	10455	1576
869	10465	1563
870	10476	1551
871	10487	1539
872	10498	1527
873	10510	1515
874	10520	1502
875	10531	1490
876	10543	1478
877	10556	1466
878	10568	1454
879	10579	1442
880	10591	1430
881	10602	1418
882	10613	1406
883	10626	1394
884	10637	1382
885	10649	1370
886	10661	1358
887	10673	1346
888	10685	1334
889	10697	1322
890	10708	1310
891	10720	1298
892	10732	1285
893	10744	1273
894	10756	1261
895	10767	1249
896	10780	1237
897	10791	1225
898	10803	1213
899	10816	1201
900	10827	1189
901	10838	1177
902	10850	1165
903	10862	1153
904	10874	1141
905	10886	1129
906	10898	1117
907	10909	1105
908	10921	1093
909	10934	1081
910	10945	1069
911	10957	1057
912	10968	1045
913	10980	1033
914	10992	1021
915	11003	1009
916	11015	996
917	11026	984
918	11037	972
919	11049	960
920	11060	948
921	11071	936
922	11083	924
923	11094	912
924	11106	900
925	11117	888
926	11128	876
927	11140	864
928	11151	852
929	11162	840
930	11173	828
931	11185	816
932	11197	804
933	11209	792
934	11220	780
935	11232	768
936	11244	756
937	11255	743
938	11267	731
939	11279	719
940	11291	707
941	11303	695
942	11315	683
943	11327	671
944	11339	659
945	11351	647
946	11363	635
947	11374	623
948	11386	611
949	11397	599
950	11409	587
951	11420	575
952	11431	563
953	11442	551
954	11453	539
955	11465	527
956	11477	515
957	11488	503
958	11500	491
959	11511	479
960	11524	467
961	11539	455
962	11552	443
963	11563	431
