iter	Logloss
0	0.6845600979
1	0.6770317862
2	0.6698916261
3	0.6635940571
4	0.6577693088
5	0.6516467236
6	0.6467200811
7	0.6417567402
8	0.6376285296
9	0.6336393341
10	0.6300302385
11	0.6268203658
12	0.6243275712
13	0.6213151206
14	0.6186963643
15	0.6161389187
16	0.6136451541
17	0.6112276708
18	0.609241971
19	0.6074754545
20	0.605497979
21	0.6039627255
22	0.6021898325
23	0.6005164167
24	0.5992176994
25	0.5978747334
26	0.59646004
27	0.59540771
28	0.5943049899
29	0.5931876492
30	0.5921620003
31	0.5910682081
32	0.590200235
33	0.588975725
34	0.5880024164
35	0.5871957368
36	0.5864123701
37	0.5856895593
38	0.5848476475
39	0.5841610812
40	0.5834434349
41	0.5828303028
42	0.5821983939
43	0.5815889619
44	0.5809256189
45	0.5803932298
46	0.5798915969
47	0.5793008888
48	0.5787725813
49	0.5782067494
50	0.5776119116
51	0.5770646302
52	0.5765658483
53	0.5761114898
54	0.5758208609
55	0.5754177722
56	0.5749792233
57	0.5745997581
58	0.5741315733
59	0.5738766746
60	0.5734632347
61	0.5731095458
62	0.5726868943
63	0.5722948568
64	0.5720018198
65	0.5716719213
66	0.5713495992
67	0.5710554442
68	0.5707371711
69	0.5705254099
70	0.5702430935
71	0.5699378059
72	0.5696841936
73	0.5694153927
74	0.5692165553
75	0.5689191547
76	0.5685843361
77	0.5683542915
78	0.5680786313
79	0.5678565049
80	0.5676320656
81	0.567336054
82	0.5671218458
83	0.5668502462
84	0.5666224852
85	0.5664016512
86	0.5661776862
87	0.5659365185
88	0.5656797594
89	0.5654975666
90	0.565218208
91	0.564999471
92	0.5648430287
93	0.5646687246
94	0.5645157493
95	0.5642464426
96	0.5641165643
97	0.5639435944
98	0.5638180792
99	0.5636410609
100	0.5635038756
101	0.5633439101
102	0.5631341205
103	0.5629237013
104	0.5627071057
105	0.562549578
106	0.5623782708
107	0.5621373434
108	0.5619939755
109	0.56182395
110	0.5617109263
111	0.5615401955
112	0.561352225
113	0.561211093
114	0.5609961341
115	0.560861137
116	0.560698345
117	0.5604505141
118	0.5603071242
119	0.5602039721
120	0.56001676
121	0.5598290797
122	0.5597138924
123	0.5595668715
124	0.5594110088
125	0.5592201495
126	0.5589978255
127	0.5588902424
128	0.5587600772
129	0.5585857959
130	0.5583459527
131	0.5582626928
132	0.5580289571
133	0.5579572011
134	0.557805378
135	0.5577600987
136	0.5577266876
137	0.5576078944
138	0.5574243693
139	0.5572521503
140	0.5570543494
141	0.5568608017
142	0.5567597211
143	0.5565968977
144	0.5564848309
145	0.556410742
146	0.5562425741
147	0.5560633486
148	0.5558833004
149	0.5557594214
150	0.5556990544
151	0.5555501506
152	0.5553895424
153	0.5552558141
154	0.5551275174
155	0.5549461616
156	0.5547516384
157	0.5547053813
158	0.5545763101
159	0.5543901039
160	0.5543190606
161	0.5542233953
162	0.5540929581
163	0.5539645385
164	0.5538744583
165	0.5538027289
166	0.5536873939
167	0.5535911817
168	0.553476478
169	0.5533340092
170	0.5532249835
171	0.5530814791
172	0.5529988068
173	0.5528583994
174	0.5527768906
175	0.5526696282
176	0.5525068859
177	0.5524042542
178	0.5522751144
179	0.5521403042
180	0.5519894836
181	0.5518462256
182	0.5517187988
183	0.5515971283
184	0.5514603298
185	0.5513391236
186	0.5512349991
187	0.5511621173
188	0.5510714975
189	0.5509443428
190	0.550879828
191	0.5507551094
192	0.550569665
193	0.5504484249
194	0.5503514189
195	0.5501909121
196	0.5500515744
197	0.5499359854
198	0.5498776633
199	0.5497745658
200	0.5496477061
201	0.5494777044
202	0.5493842361
203	0.5492203688
204	0.5490334613
205	0.5489433136
206	0.5488234967
207	0.5486843665
208	0.5485193194
209	0.5483536614
210	0.5482604435
211	0.5481304966
212	0.5479479989
213	0.5478142681
214	0.5476481958
215	0.5474534085
216	0.5473293329
217	0.5471843414
218	0.5470261759
219	0.5468421507
220	0.5467132636
221	0.5466195533
222	0.5464663648
223	0.5463919349
224	0.5462932508
225	0.5461588919
226	0.5460396185
227	0.5459401783
228	0.5457667614
229	0.5455621213
230	0.5454134283
231	0.5452889177
232	0.545171539
233	0.5450215025
234	0.5448965523
235	0.5446846081
236	0.5445382023
237	0.5444609387
238	0.5443502854
239	0.5442458074
240	0.5441328107
241	0.5439748034
242	0.543778523
243	0.5436221783
244	0.5434494496
245	0.5432995606
246	0.5431164697
247	0.5429648726
248	0.5427521624
249	0.5426132886
250	0.5425256185
251	0.5423805372
252	0.5422079983
253	0.5420822571
254	0.5419823027
255	0.541863337
256	0.5416829763
257	0.5416028445
258	0.5414319819
259	0.5412313866
260	0.5410634539
261	0.5408955684
262	0.5407388098
263	0.540668466
264	0.5404464046
265	0.5403121909
266	0.5401839562
267	0.539987798
268	0.5398734575
269	0.5397240341
270	0.5395964589
271	0.53949372
272	0.5393511999
273	0.5391671317
274	0.5389583121
275	0.5388464455
276	0.5387923336
277	0.5386766163
278	0.5385653126
279	0.5383776116
280	0.5382066768
281	0.5380485501
282	0.5379137978
283	0.5377272099
284	0.5376638016
285	0.5375172166
286	0.5373053732
287	0.5371318097
288	0.5369495806
289	0.5367849255
290	0.5367098485
291	0.5365437283
292	0.5363901689
293	0.5362599053
294	0.536127149
295	0.5359730642
296	0.535763394
297	0.53567976
298	0.5355404743
299	0.5354177173
300	0.5352565904
301	0.5351457566
302	0.5349623036
303	0.5347823036
304	0.5346934971
305	0.5345695155
306	0.5343905245
307	0.5342403695
308	0.534030444
309	0.5340010622
310	0.5338381401
311	0.5337328247
312	0.5335346538
313	0.5334893307
314	0.5333587654
315	0.5332591167
316	0.5331582939
317	0.5329671174
318	0.5327850413
319	0.5326517166
320	0.5325082861
321	0.5323766823
322	0.5323434146
323	0.5322172991
324	0.5320887504
325	0.5319070954
326	0.5318922989
327	0.5317608607
328	0.5316029877
329	0.5314814387
330	0.5313015293
331	0.5311444986
332	0.5309619743
333	0.5309551305
334	0.5307475393
335	0.5306114128
336	0.5304756493
337	0.5303416484
338	0.5301507336
339	0.530003996
340	0.5298790978
341	0.5297711048
342	0.5296353442
343	0.5295070069
344	0.5293512722
345	0.5292411129
346	0.5290655482
347	0.528954105
348	0.5288049966
349	0.5286929485
350	0.5285490888
351	0.5284389312
352	0.528282373
353	0.5280897031
354	0.5279888949
355	0.52785149
356	0.5277009761
357	0.5275498251
358	0.5274045428
359	0.5272480906
360	0.5271107648
361	0.5270122074
362	0.5270071271
363	0.5269009122
364	0.526736753
365	0.5266138952
366	0.5265011689
367	0.5263830568
368	0.5262146338
369	0.5260898733
370	0.5260839111
371	0.5259944618
372	0.5258481906
373	0.5257903436
374	0.5256769658
375	0.5255094144
376	0.5253267832
377	0.5252365929
378	0.5251327184
379	0.524944784
380	0.5249400694
381	0.5247541591
382	0.5246099647
383	0.5244345813
384	0.524283125
385	0.5241474318
386	0.5239499746
387	0.5238606023
388	0.5236926385
389	0.5235786845
390	0.5234660972
391	0.5233557177
392	0.5232060929
393	0.5231094152
394	0.5229639692
395	0.5227722726
396	0.5226407723
397	0.5224437181
398	0.5222827163
399	0.5221773298
400	0.5219635951
401	0.5219591543
402	0.5217900985
403	0.5217686878
404	0.5216329596
405	0.5214738134
406	0.5213095443
407	0.5212140971
408	0.5210776656
409	0.5209364514
410	0.5208262819
411	0.5206761632
412	0.5205505991
413	0.5204139822
414	0.5202770601
415	0.5201231112
416	0.5200142376
417	0.5198736864
418	0.5197511121
419	0.5195819888
420	0.5194444569
421	0.5193410469
422	0.5191904345
423	0.5190940208
424	0.5189927135
425	0.5188716029
426	0.5187458344
427	0.5185866628
428	0.5184699978
429	0.5182895138
430	0.5181529934
431	0.5180247992
432	0.517813667
433	0.5177205111
434	0.5175508229
435	0.5174391171
436	0.5174343015
437	0.5172853631
438	0.5172575653
439	0.5171045153
440	0.5170220493
441	0.516880404
442	0.5167389036
443	0.5166416228
444	0.5164753004
445	0.5163221674
446	0.5161871
447	0.5160285155
448	0.5159822996
449	0.51581839
450	0.5156704025
451	0.5155961268
452	0.5154480886
453	0.5153585925
454	0.5152132882
455	0.5150999817
456	0.5150139077
457	0.5149234026
458	0.5147358837
459	0.5146540967
460	0.5145638172
461	0.5144535306
462	0.5143525853
463	0.5142617767
464	0.5141026335
465	0.5139958712
466	0.5138331016
467	0.5137356147
468	0.5136408378
469	0.5134832453
470	0.5133395881
471	0.5132537716
472	0.5130844098
473	0.5129957527
474	0.5128095541
475	0.5127412281
476	0.5126141347
477	0.5125383664
478	0.5125339967
479	0.5124391584
480	0.5123163941
481	0.5121619899
482	0.5120484061
483	0.5119606675
484	0.5117977013
485	0.5117191644
486	0.51159003
487	0.5114348331
488	0.5113433224
489	0.511277568
490	0.5111457624
491	0.5110681848
492	0.5109672506
493	0.5108079271
494	0.5106265568
495	0.5104759474
496	0.5103101457
497	0.5101878156
498	0.5100378957
499	0.509892195
500	0.5097591122
501	0.5096344947
502	0.5095594259
503	0.5095482387
504	0.5094423009
505	0.5093012346
506	0.5091897362
507	0.5090316624
508	0.5089418482
509	0.5088011646
510	0.5086821666
511	0.5085687081
512	0.5084652167
513	0.508346291
514	0.5081891691
515	0.5080440445
516	0.5079506022
517	0.5077946415
518	0.5076836354
519	0.5075486261
520	0.5073885963
521	0.5072792002
522	0.5072759197
523	0.5071735151
524	0.507084805
525	0.50706915
526	0.5069487514
527	0.5068576029
528	0.5067595441
529	0.5066824107
530	0.5065219459
531	0.5064032712
532	0.5063999614
533	0.5062970371
534	0.5062070385
535	0.5060748335
536	0.505945821
537	0.5057661725
538	0.5056837821
539	0.5056283714
540	0.5054855921
541	0.5053412038
542	0.5051929457
543	0.5050373746
544	0.504894193
545	0.5047349879
546	0.5046298311
547	0.5045411612
548	0.5044446631
549	0.5043620117
550	0.5042379531
551	0.5042350139
552	0.5041758025
553	0.5040763648
554	0.5039661155
555	0.5038520694
556	0.5037677491
557	0.5037518974
558	0.5036509711
559	0.5035424574
560	0.503404364
561	0.5032738608
562	0.5031842254
563	0.5030413931
564	0.5029018422
565	0.5028302035
566	0.5027612289
567	0.5026562083
568	0.5025599709
569	0.502475715
570	0.5023175349
571	0.5021826049
572	0.5021024897
573	0.5019614801
574	0.5018704711
575	0.5017679882
576	0.5016644753
577	0.5015338168
578	0.501435695
579	0.5013492709
580	0.5012229307
581	0.501151357
582	0.5010808382
583	0.5009342121
584	0.5007864678
585	0.5006981164
586	0.500534218
587	0.5004633949
588	0.5003831854
589	0.5002911821
590	0.5001707136
591	0.5000271543
592	0.4999019159
593	0.4997938575
594	0.499687637
595	0.4995441241
596	0.4993873899
597	0.4993165304
598	0.4991653459
599	0.4990814243
600	0.4990152994
601	0.4988881718
602	0.4987613758
603	0.4986287679
604	0.4985211571
605	0.4983964708
606	0.4982990537
607	0.4981472839
608	0.4980221081
609	0.4979500248
610	0.497858037
611	0.4977511261
612	0.4976430905
613	0.49750368
614	0.4974197061
615	0.4973298639
616	0.4972143314
617	0.4971226211
618	0.4970530618
619	0.4969472887
620	0.4968318939
621	0.4967370748
622	0.4966010502
623	0.4965352419
624	0.4964091836
625	0.496291401
626	0.4961976979
627	0.4960461599
628	0.4959851863
629	0.4958722713
